"n","z_classical","alpha_p1.2","zbar_p1.2","alpha_p2","zbar_p2"
20,1.95996398454005,0.027464013582653,2.20485866892591,0.0025,3.02334143973915
40,1.95996398454005,0.0119544062473755,2.51348735773197,0.000625,3.42052670113183
100,1.95996398454005,0.00398107170553497,2.87965767766091,1e-04,3.89059188641312
200,1.95996398454005,0.00173286210788787,3.13256473321774,2.5e-05,4.21479966999304
1000,1.95996398454005,0.000251188643150958,3.66104498793334,1e-06,4.89163847571478
4000,1.95996398454005,4.7591348467897e-05,4.06715128560111,6.25e-08,5.41149711939557
