"author","year","n1","n2","n","smd","se_smd","z","p","crit","sig_fixed","sig_005","sig_p1.1","sig_p1.2","sig_p1.5","sig_p2"
"Haider","2014",30,30,60,1.35,0.286101671904704,4.71860227524174,2.37470573323215e-06,3.16305499772655,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Khyathi","2015",20,20,40,0.93,0.332883237787666,2.79377239352981,0.00520971322788909,1.42515648254659,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
"Ranjana","2016",15,15,30,1.1,0.391790760483195,2.80762108489586,0.00499089130864596,1.55831613736333,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Rathod","2019",20,20,40,1.03,0.336543087880289,3.06052935595093,0.0022094609996848,1.65768677475339,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"Sai","2015",30,30,60,0.38,0.260518713339368,1.45862842299926,0.144667406221459,0.472192286714567,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Yeole","2017",15,15,30,2.33,0.473090900356369,4.92505773889302,8.43354481965924e-07,4.11204552319824,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Youssef","2015",15,15,30,0.86,0.381654293831473,2.2533481580054,0.0242372055245931,1.0936931882053,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Kachanathu","2013",15,15,30,3,0.532290647422377,5.63601861976634,1.74026571496353e-08,5.25304500966784,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"Kakati","2017",25,25,50,0.57,0.288529028002383,1.97553779578564,0.0482071498323366,0.775109943870093,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Nishizuka","2017",51,51,102,0.04,0.198049310556146,0.201969902786711,0.839940253382447,0.0377136306832068,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Oken","2008",20,18,38,0.52,0.330323251213713,1.57421555427707,0.115437624593991,0.593532317009298,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
